Temperature (K)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
1182.6	1.0000	0.45341	2.2055	55.970	65.805	185.33	47.876	56.196	512.22	0.030160	4.6368e-05	0.082912	vapor
1185.6	1.0000	0.45227	2.2111	56.113	65.972	185.47	47.902	56.222	512.84	0.029533	4.6449e-05	0.083102	vapor
1188.5	1.0000	0.45114	2.2166	56.255	66.139	185.61	47.928	56.248	513.47	0.028910	4.6530e-05	0.083292	vapor
1191.5	1.0000	0.45001	2.2221	56.397	66.307	185.75	47.954	56.274	514.09	0.028292	4.6611e-05	0.083482	vapor
1194.5	1.0000	0.44889	2.2277	56.540	66.474	185.89	47.980	56.300	514.71	0.027678	4.6692e-05	0.083672	vapor
1197.5	1.0000	0.44778	2.2332	56.683	66.641	186.03	48.005	56.325	515.33	0.027068	4.6773e-05	0.083861	vapor
1200.4	1.0000	0.44667	2.2388	56.825	66.809	186.17	48.031	56.350	515.95	0.026462	4.6853e-05	0.084051	vapor
1203.4	1.0000	0.44557	2.2443	56.968	66.976	186.31	48.056	56.376	516.56	0.025860	4.6934e-05	0.084240	vapor
1206.4	1.0000	0.44447	2.2499	57.111	67.144	186.45	48.081	56.401	517.18	0.025262	4.7014e-05	0.084429	vapor
1209.4	1.0000	0.44338	2.2554	57.254	67.312	186.59	48.106	56.426	517.80	0.024668	4.7095e-05	0.084617	vapor
1212.3	1.0000	0.44229	2.2610	57.397	67.479	186.73	48.131	56.451	518.41	0.024078	4.7175e-05	0.084806	vapor
1215.3	1.0000	0.44121	2.2665	57.540	67.647	186.87	48.156	56.475	519.03	0.023492	4.7255e-05	0.084994	vapor
1218.3	1.0000	0.44013	2.2720	57.683	67.815	187.00	48.180	56.500	519.64	0.022910	4.7335e-05	0.085182	vapor
1221.2	1.0000	0.43906	2.2776	57.827	67.983	187.14	48.205	56.524	520.26	0.022331	4.7416e-05	0.085370	vapor
1224.2	1.0000	0.43799	2.2831	57.970	68.151	187.28	48.229	56.549	520.87	0.021757	4.7495e-05	0.085557	vapor
1227.2	1.0000	0.43693	2.2887	58.113	68.319	187.42	48.254	56.573	521.48	0.021186	4.7575e-05	0.085745	vapor
1230.2	1.0000	0.43588	2.2942	58.257	68.487	187.55	48.278	56.597	522.10	0.020619	4.7655e-05	0.085932	vapor
1233.1	1.0000	0.43483	2.2998	58.400	68.656	187.69	48.302	56.621	522.71	0.020055	4.7735e-05	0.086119	vapor
1236.1	1.0000	0.43378	2.3053	58.544	68.824	187.83	48.326	56.645	523.32	0.019495	4.7814e-05	0.086306	vapor
1239.1	1.0000	0.43274	2.3108	58.688	68.992	187.96	48.350	56.669	523.93	0.018939	4.7894e-05	0.086492	vapor
1242.1	1.0000	0.43171	2.3164	58.831	69.161	188.10	48.373	56.693	524.54	0.018386	4.7973e-05	0.086679	vapor
1245.0	1.0000	0.43067	2.3219	58.975	69.329	188.23	48.397	56.716	525.15	0.017836	4.8053e-05	0.086865	vapor
1248.0	1.0000	0.42965	2.3275	59.119	69.498	188.37	48.420	56.740	525.75	0.017291	4.8132e-05	0.087051	vapor
1251.0	1.0000	0.42863	2.3330	59.263	69.667	188.50	48.444	56.763	526.36	0.016748	4.8211e-05	0.087236	vapor
1253.9	1.0000	0.42761	2.3386	59.407	69.836	188.64	48.467	56.786	526.97	0.016209	4.8290e-05	0.087422	vapor
1256.9	1.0000	0.42660	2.3441	59.551	70.004	188.77	48.490	56.810	527.57	0.015674	4.8369e-05	0.087607	vapor
1259.9	1.0000	0.42559	2.3497	59.695	70.173	188.91	48.513	56.833	528.18	0.015142	4.8448e-05	0.087792	vapor
1262.9	1.0000	0.42459	2.3552	59.840	70.342	189.04	48.536	56.855	528.78	0.014613	4.8527e-05	0.087977	vapor
1265.8	1.0000	0.42360	2.3607	59.984	70.511	189.17	48.559	56.878	529.39	0.014088	4.8606e-05	0.088162	vapor
1268.8	1.0000	0.42260	2.3663	60.128	70.680	189.31	48.582	56.901	529.99	0.013565	4.8684e-05	0.088346	vapor
1271.8	1.0000	0.42162	2.3718	60.273	70.849	189.44	48.604	56.923	530.59	0.013046	4.8763e-05	0.088531	vapor
1274.7	1.0000	0.42063	2.3774	60.417	71.019	189.57	48.627	56.946	531.19	0.012531	4.8841e-05	0.088715	vapor
1277.7	1.0000	0.41965	2.3829	60.562	71.188	189.71	48.649	56.968	531.79	0.012018	4.8920e-05	0.088899	vapor
1280.7	1.0000	0.41868	2.3885	60.707	71.357	189.84	48.672	56.991	532.39	0.011509	4.8998e-05	0.089082	vapor
1283.7	1.0000	0.41771	2.3940	60.851	71.527	189.97	48.694	57.013	532.99	0.011003	4.9076e-05	0.089266	vapor
1286.6	1.0000	0.41675	2.3995	60.996	71.696	190.10	48.716	57.035	533.59	0.010500	4.9155e-05	0.089449	vapor
1289.6	1.0000	0.41578	2.4051	61.141	71.866	190.23	48.738	57.057	534.19	0.0099996	4.9233e-05	0.089632	vapor
