Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
278.12	100.00	948.41	0.0010544	8.6252	9.0892	43.943	40.768	98.975	603.27	0.026558	0.00010641	0.11387	liquid
278.29	100.00	947.49	0.0010554	8.6418	9.1063	44.005	40.768	99.094	601.94	0.026857	0.00010612	0.11367	liquid
278.46	100.00	946.57	0.0010564	8.6584	9.1234	44.066	40.767	99.215	600.61	0.027159	0.00010583	0.11348	liquid
278.64	100.00	945.64	0.0010575	8.6751	9.1405	44.128	40.767	99.336	599.27	0.027463	0.00010554	0.11328	liquid
278.81	100.00	944.71	0.0010585	8.6918	9.1576	44.189	40.767	99.459	597.94	0.027769	0.00010525	0.11309	liquid
278.98	100.00	943.78	0.0010596	8.7085	9.1748	44.251	40.767	99.582	596.60	0.028077	0.00010497	0.11289	liquid
279.15	100.00	942.85	0.0010606	8.7252	9.1919	44.312	40.767	99.707	595.27	0.028388	0.00010468	0.11270	liquid
279.33	100.00	941.91	0.0010617	8.7419	9.2091	44.374	40.767	99.832	593.93	0.028701	0.00010440	0.11250	liquid
279.50	100.00	940.97	0.0010627	8.7587	9.2264	44.435	40.767	99.959	592.58	0.029017	0.00010411	0.11231	liquid
279.67	100.00	940.03	0.0010638	8.7754	9.2436	44.497	40.767	100.09	591.24	0.029335	0.00010383	0.11211	liquid
279.84	100.00	939.09	0.0010649	8.7922	9.2609	44.559	40.767	100.22	589.89	0.029655	0.00010354	0.11192	liquid
280.02	100.00	938.14	0.0010659	8.8090	9.2781	44.620	40.767	100.35	588.55	0.029978	0.00010326	0.11172	liquid
280.19	100.00	937.19	0.0010670	8.8259	9.2954	44.682	40.768	100.48	587.20	0.030304	0.00010297	0.11153	liquid
280.36	100.00	936.24	0.0010681	8.8427	9.3128	44.744	40.768	100.61	585.85	0.030632	0.00010269	0.11133	liquid
280.53	100.00	935.28	0.0010692	8.8596	9.3301	44.806	40.768	100.74	584.49	0.030962	0.00010241	0.11114	liquid
280.70	100.00	934.33	0.0010703	8.8765	9.3475	44.868	40.769	100.88	583.14	0.031295	0.00010213	0.11094	liquid
280.88	100.00	933.37	0.0010714	8.8934	9.3649	44.930	40.770	101.01	581.78	0.031631	0.00010185	0.11074	liquid
281.05	100.00	932.41	0.0010725	8.9103	9.3823	44.992	40.770	101.15	580.42	0.031970	0.00010156	0.11055	liquid
281.22	100.00	931.44	0.0010736	8.9273	9.3998	45.054	40.771	101.29	579.06	0.032311	0.00010128	0.11035	liquid
281.39	100.00	930.47	0.0010747	8.9443	9.4172	45.116	40.772	101.43	577.70	0.032655	0.00010100	0.11016	liquid
281.57	100.00	929.50	0.0010758	8.9613	9.4347	45.178	40.773	101.57	576.33	0.033001	0.00010072	0.10996	liquid
281.74	100.00	928.53	0.0010770	8.9783	9.4522	45.240	40.774	101.71	574.97	0.033351	0.00010044	0.10976	liquid
281.91	100.00	927.55	0.0010781	8.9953	9.4698	45.302	40.775	101.85	573.60	0.033703	0.00010016	0.10957	liquid
282.08	100.00	926.58	0.0010792	9.0124	9.4874	45.365	40.776	102.00	572.22	0.034058	9.9883e-05	0.10937	liquid
282.26	100.00	925.59	0.0010804	9.0295	9.5049	45.427	40.778	102.14	570.85	0.034416	9.9605e-05	0.10917	liquid
282.43	100.00	924.61	0.0010815	9.0466	9.5226	45.489	40.779	102.29	569.48	0.034777	9.9326e-05	0.10898	liquid
282.60	100.00	923.62	0.0010827	9.0637	9.5402	45.552	40.781	102.44	568.10	0.035140	9.9048e-05	0.10878	liquid
282.77	100.00	922.63	0.0010839	9.0809	9.5579	45.614	40.782	102.59	566.72	0.035507	9.8771e-05	0.10858	liquid
282.95	100.00	921.64	0.0010850	9.0980	9.5756	45.677	40.784	102.74	565.34	0.035877	9.8494e-05	0.10839	liquid
283.12	100.00	920.64	0.0010862	9.1153	9.5933	45.740	40.786	102.89	563.95	0.036250	9.8217e-05	0.10819	liquid
283.29	100.00	919.64	0.0010874	9.1325	9.6110	45.802	40.788	103.05	562.56	0.036626	9.7940e-05	0.10799	liquid
283.46	100.00	918.64	0.0010886	9.1497	9.6288	45.865	40.790	103.20	561.18	0.037005	9.7664e-05	0.10780	liquid
283.63	100.00	917.64	0.0010898	9.1670	9.6466	45.928	40.792	103.36	559.78	0.037388	9.7388e-05	0.10760	liquid
283.81	100.00	916.63	0.0010910	9.1843	9.6644	45.991	40.794	103.52	558.39	0.037773	9.7113e-05	0.10740	liquid
283.98	100.00	915.62	0.0010922	9.2016	9.6823	46.053	40.796	103.68	557.00	0.038162	9.6838e-05	0.10721	liquid
284.15	100.00	914.60	0.0010934	9.2190	9.7002	46.116	40.799	103.84	555.60	0.038554	9.6563e-05	0.10701	liquid
284.32	100.00	913.58	0.0010946	9.2364	9.7181	46.179	40.801	104.01	554.20	0.038950	9.6288e-05	0.10681	liquid
284.50	100.00	912.56	0.0010958	9.2538	9.7360	46.243	40.804	104.17	552.79	0.039349	9.6014e-05	0.10661	liquid
284.67	100.00	911.54	0.0010970	9.2712	9.7540	46.306	40.807	104.34	551.39	0.039751	9.5740e-05	0.10642	liquid
284.84	100.00	910.51	0.0010983	9.2886	9.7720	46.369	40.809	104.51	549.98	0.040157	9.5466e-05	0.10622	liquid
285.01	100.00	909.48	0.0010995	9.3061	9.7900	46.432	40.812	104.68	548.57	0.040567	9.5193e-05	0.10602	liquid
285.19	100.00	908.44	0.0011008	9.3236	9.8081	46.495	40.815	104.85	547.16	0.040980	9.4920e-05	0.10582	liquid
285.36	100.00	907.41	0.0011020	9.3411	9.8262	46.559	40.819	105.02	545.74	0.041396	9.4647e-05	0.10562	liquid
285.53	100.00	906.37	0.0011033	9.3587	9.8443	46.622	40.822	105.20	544.33	0.041817	9.4375e-05	0.10543	liquid
285.70	100.00	905.32	0.0011046	9.3763	9.8624	46.686	40.826	105.38	542.91	0.042241	9.4103e-05	0.10523	liquid
285.88	100.00	904.27	0.0011059	9.3939	9.8806	46.749	40.829	105.56	541.48	0.042669	9.3831e-05	0.10503	liquid
286.05	100.00	903.22	0.0011071	9.4115	9.8988	46.813	40.833	105.74	540.06	0.043100	9.3559e-05	0.10483	liquid
286.22	100.00	902.17	0.0011084	9.4292	9.9170	46.877	40.837	105.92	538.63	0.043536	9.3288e-05	0.10463	liquid
286.39	100.00	901.11	0.0011097	9.4469	9.9353	46.941	40.841	106.11	537.20	0.043975	9.3017e-05	0.10443	liquid
286.56	100.00	900.05	0.0011111	9.4646	9.9536	47.005	40.845	106.29	535.77	0.044419	9.2746e-05	0.10423	liquid
286.74	100.00	898.98	0.0011124	9.4824	9.9720	47.069	40.849	106.48	534.33	0.044867	9.2475e-05	0.10404	liquid
286.91	100.00	897.91	0.0011137	9.5002	9.9903	47.133	40.854	106.67	532.89	0.045318	9.2205e-05	0.10384	liquid
