Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
216.59	5.1795	1178.5	0.00084856	3.5029	3.5223	22.943	42.895	85.960	975.85	-0.014430	0.00025337	0.17716	0.016495	13.761	0.072672	17.286	18.943	94.138	27.691	39.992	222.78	2.6174	1.0892e-05	0.011116
217.09	5.2938	1176.7	0.00084986	3.5459	3.5657	23.141	42.863	86.012	972.21	-0.014253	0.00025123	0.17653	0.016376	14.050	0.071173	17.293	18.951	94.009	27.753	40.128	222.84	2.6008	1.0917e-05	0.011161
217.59	5.4081	1174.9	0.00085115	3.5882	3.6085	23.336	42.832	86.064	968.62	-0.014077	0.00024915	0.17591	0.016259	14.340	0.069734	17.299	18.959	93.883	27.815	40.263	222.90	2.5847	1.0941e-05	0.011205
218.08	5.5225	1173.1	0.00085243	3.6298	3.6506	23.527	42.801	86.116	965.10	-0.013900	0.00024712	0.17530	0.016144	14.630	0.068354	17.305	18.967	93.759	27.876	40.397	222.95	2.5689	1.0966e-05	0.011249
218.56	5.6368	1171.4	0.00085369	3.6709	3.6920	23.715	42.771	86.170	961.63	-0.013724	0.00024514	0.17470	0.016031	14.919	0.067026	17.311	18.974	93.638	27.936	40.531	223.00	2.5536	1.0989e-05	0.011292
219.03	5.7511	1169.7	0.00085494	3.7113	3.7329	23.900	42.742	86.223	958.22	-0.013548	0.00024320	0.17411	0.015921	15.209	0.065750	17.317	18.981	93.519	27.996	40.665	223.05	2.5387	1.1013e-05	0.011335
219.50	5.8654	1168.0	0.00085618	3.7511	3.7732	24.082	42.713	86.278	954.86	-0.013373	0.00024131	0.17353	0.015811	15.499	0.064522	17.323	18.989	93.402	28.055	40.798	223.10	2.5241	1.1036e-05	0.011377
219.95	5.9798	1166.3	0.00085741	3.7903	3.8129	24.261	42.685	86.332	951.55	-0.013197	0.00023947	0.17296	0.015704	15.788	0.063339	17.329	18.996	93.287	28.114	40.930	223.14	2.5098	1.1059e-05	0.011419
220.41	6.0941	1164.7	0.00085862	3.8291	3.8521	24.437	42.657	86.388	948.28	-0.013022	0.00023767	0.17239	0.015598	16.078	0.062198	17.334	19.002	93.175	28.172	41.062	223.18	2.4959	1.1082e-05	0.011461
220.85	6.2084	1163.0	0.00085983	3.8672	3.8907	24.610	42.630	86.443	945.07	-0.012847	0.00023591	0.17184	0.015494	16.367	0.061098	17.340	19.009	93.064	28.230	41.194	223.22	2.4823	1.1105e-05	0.011502
